Country,Indicator,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Bangladesh,"Climate related disasters frequency, Number of Disasters: Flood",1,,1,4,1,2,2,2,2,1,2,3,3,3,4,4,2,1,1,5,3,2,1,2,3,3,2,2,2,2,2,1,2,,2,2,1,2,2,1,1,1,1
Bangladesh,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,1,,1,,,
Bangladesh,"Climate related disasters frequency, Number of Disasters: Storm",1,3,,4,,3,4,1,4,2,4,2,2,8,4,4,4,5,5,6,7,4,4,3,4,7,5,2,2,2,3,1,2,3,2,4,2,2,1,3,1,1,1
Bangladesh,"Climate related disasters frequency, Number of Disasters: TOTAL",2,3,2,8,1,5,6,3,6,6,8,6,5,11,9,9,7,7,7,11,11,7,6,7,7,12,7,5,5,6,6,5,5,3,4,7,3,5,4,6,2,2,2
Barbados,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Barbados,"Climate related disasters frequency, Number of Disasters: Flood",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,"Climate related disasters frequency, Number of Disasters: Storm",1,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,1,,,,,,,1,,,,1,
Barbados,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,1,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,2,,,,,,,1,,,,1,
"Belarus, Rep. of","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,1,,,1,,,,,
"Belarus, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,
"Belarus, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
"Belarus, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,1,,,1,1,,1,1,,,,,1,,1,,,,,1,1,1,,,1,1,,,,
Belgium,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,1,,,,,,,,,,,,,,,,,,1,,2,1,,1,,,,1,,,1,,,1,3,1,,
Belgium,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,2,1,,,,1,,,,4,1,,1,,,,,1,1,,,,,1,,,,,1,
Belgium,"Climate related disasters frequency, Number of Disasters: Storm",,,,,1,1,,,,,6,,,,,1,,,1,2,,,1,,,,,1,1,,2,1,,2,1,,1,,1,,1,2,1
Belgium,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,1,2,,,,,6,,,2,1,1,,,2,2,,,5,2,,3,1,1,2,,3,2,1,2,1,1,2,,2,3,2,3,1
Belize,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
Belize,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,1,,1,2,,,,2,,1,1,,1,,,,,,1,,,,1,,1
Belize,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,2,,,,,1,,,1,,1,2,,,,2,,1,2,,1,,,,,1,1,,,,1,,1
